Compania,Orden,Posicion,Entrega,TipoTrans,NumFac,Articulo,FchFac,Cliente
225,183350,10,0,FAT,171003,KS360018979     ,01/10/2020,576
225,183352,10,0,FAT,171206,BS290020453     ,07/10/2020,115029
225,183362,10,0,FAT,171636,KS320015783     ,17/10/2020,871
225,183366,10,0,FAT,170892,KS320019616     ,28/09/2020,115041
225,183392,10,0,FAT,170500,BS400020195     ,18/09/2020,44
225,183392,20,0,FAT,170500,BS400020196     ,18/09/2020,44
225,183372,10,0,FAT,171015,KS360020976     ,01/10/2020,1021
225,183373,10,0,FAT,170786,BS320017185     ,25/09/2020,13002
225,183375,20,0,FAT,170732,KD420019615     ,23/09/2020,115041
225,183376,10,0,FAT,170516,KD420018931     ,18/09/2020,115041
225,183376,20,0,FAT,171105,KD420018931     ,04/10/2020,115041
225,183377,10,0,FAT,170712,KS230019306     ,23/09/2020,262
225,183378,10,0,FAT,170711,KS260019590     ,23/09/2020,262
225,183379,10,0,FAT,170953,KS260019589     ,30/09/2020,262
225,183379,20,0,FAT,170953,KS230019711     ,30/09/2020,262
225,183380,20,0,FAT,170503,KS260020730     ,18/09/2020,115130
225,183380,30,0,FAT,170506,KS260020730     ,18/09/2020,115130
225,183380,40,0,FAT,170804,KS260020730     ,25/09/2020,115130
225,183380,50,0,FAT,170804,KS260020730     ,25/09/2020,115130
225,183381,10,0,FAT,170504,KS260020731     ,18/09/2020,115130
225,183381,30,0,FAT,170507,KS260020731     ,18/09/2020,115130
225,183383,10,0,FAT,170720,030015837       ,23/09/2020,262
225,183383,20,0,FAT,170720,030015838       ,23/09/2020,262
225,183384,10,0,FAT,171000,KD480020981     ,01/10/2020,988
225,183384,20,0,FAT,171411,KD480120981     ,12/10/2020,988
225,183385,10,0,FAT,170694,KS230020980     ,22/09/2020,138
225,183386,10,0,FAT,170583,220017592       ,19/09/2020,298
225,183386,20,0,FAT,171461,220017592       ,13/10/2020,298
225,183386,30,0,FAT,172648,220017592       ,12/11/2020,298
225,183387,10,0,FAT,170926,110018962       ,29/09/2020,207
225,183391,10,0,FAT,170517,KS440020833     ,18/09/2020,115041
225,183392,40,0,FAT,170611,KS360017547     ,21/09/2020,44
225,183395,50,0,FAT,170742,KS400016995     ,24/09/2020,2012
225,183396,10,0,FAT,171035,19008449        ,02/10/2020,199
225,183396,20,0,FAT,171035,19018449        ,02/10/2020,199
225,183396,30,0,FAT,171138,09028449        ,05/10/2020,199
225,183397,10,0,FAT,170950,KS320015674     ,30/09/2020,864
225,183397,20,0,FAT,171594,KS320015674     ,16/10/2020,864
225,183398,10,0,FAT,171242,BS290018277     ,07/10/2020,6019
225,183398,20,0,FAT,170609,KS260017397     ,20/09/2020,6019
225,183398,30,0,FAT,170608,KS290018170     ,20/09/2020,6019
225,183398,40,0,FAT,171243,KS230019272     ,07/10/2020,6019
225,183399,10,0,FAT,170912,010015474       ,29/09/2020,864
225,183400,10,0,FAT,170908,KS320015715     ,29/09/2020,864
225,183400,20,0,FAT,172906,KS320015715     ,18/11/2020,864
225,183401,10,0,FAT,170759,010015696       ,24/09/2020,864
225,183402,10,0,FAT,170876,010015664       ,28/09/2020,864
225,183403,10,0,FAT,170875,010015696       ,28/09/2020,864
225,183405,10,0,FAT,170676,KS320019535     ,22/09/2020,44
225,183405,20,0,FAT,170676,KS360017547     ,22/09/2020,44
225,183407,10,0,FAT,170597,KS290018501     ,20/09/2020,13002
225,183407,20,0,FAT,170597,KS230017084     ,20/09/2020,13002
